Brand,Model,MY from,MY to,Modell_Ids
Abarth,500/500C,2008,2017,
Abarth,595/595C Pista/Competizione,2012,2018,
Abarth,595/595C/Turismo,2012,2020,
Alfa Romeo,Giulia Quadrifoglio,2016,2020,
Alfa Romeo,Giulia Quadrifoglio,2018,2020,
Alfa Romeo,Stelvio Quadrifoglio,2017,2020,
Audi,R8 5.2 FSI Coupé/Spyder,2009,2015,
Audi,R8 5.2 FSI Coupé/Spyder,2016,2018,
Audi,RS 6 Avant (C7),2014,2018,"117769,59276,"
Audi,RS 6 Avant (C8),2020,2021,138275
Audi,RS 6 Avant (C8) - OPF/GPF,2020,2021,138275
Audi,RS 7 Sportback (C7),2014,2018,
Audi,RS 7 Sportback (C8),2020,2021,
Audi,RS 7 Sportback (C8) - OPF/GPF,2020,2021,
Audi,RS Q8 (4M),2020,2021,138832
Audi,RS Q8 (4M) - OPF/GPF,2020,2021,138832
Audi,S3 Sedan (8Y),2020,2021,
Audi,S3 Sedan (8Y) - OPF/GPF,2020,2021,
Audi,S3 Sportback (8Y),2020,2021,
Audi,S3 Sportback (8Y) - OPF/GPF,2020,2021,
Audi,S5 Coupé (8T),2007,2011,11997.22549
Audi,S6 Avant/Limousine (C7),2013,2017,"11718,108595,"
Audi,S7 Sportback (C7),2013,2017,
BMW,1 Series M Coupé (E82),2011,2012,9877
BMW,"335i (E90, E91)",2007,2012,"19833,121918,"
BMW,"335i (F30, F31)",2012,2015,107875.1079
BMW,"340i (F30, F31)",2016,2019,"113409,117345,117293,113446,"
BMW,"340i (F30, F31) - OPF/GPF",2018,2019,"113409,117345,117293,113446,"
BMW,435i (F32),2013,2015,"59807,107890,"
BMW,"440i (F32, F33, F36)",2016,2020,"118082,119033,118186,119039,"
BMW,"440i (F32, F33, F36) - OPF/GPF",2018,2020,"118082,119033,118186,119039,"
BMW,M135i (F40),2020,2020,136291
BMW,M135i (F40) - OPF/GPF,2020,2020,136291
BMW,"M140i (F20, F21)",2016,2019,"120244,120236,"
BMW,"M140i (F20, F21) - OPF/GPF",2018,2019,"120244,120236,"
BMW,M2 (F87),2016,2017,"117272,138130,130898"
BMW,M2 Competition (F87N),2018,2020,130898
BMW,M2 Competition (F87N) - OPF/GPF,2018,2020,130898
BMW,M2 CS (F87N),2020,2021,138130
BMW,M2 CS (F87N) - OPF/GPF,2020,2021,138130
BMW,"M240i (F22, F23)",2016,2020,"120248,120252,"
BMW,"M240i (F22, F23)  - OPF/GPF",2018,2020,"120248,120252,"
BMW,M3 (E90),2007,2013,26589
BMW,"M3 (E92, E93)",2007,2013,"22939,26590,"
BMW,M3 (F80),2014,2018,100819
BMW,M3 (G80),2021,2021,141793
BMW,M3 (G80) - OPF/GPF,2021,2021,141793
BMW,"M340I  (G20, G21) - OPF/GPF",2020,2021,142485
BMW,"M340I (G20, G21)",2020,2021,142485
BMW,"M4 (F82, F83)",2014,2020,"100821,105899,"
BMW,"M4 (F82, F83) - OPF/GPF",2018,2020,"100821,105899,"
BMW,M4 (G82),2021,2021,141795
BMW,M4 (G82) - OPF/GPF,2021,2021,141795
BMW,"M440I (G22, G23)",2021,2021,144724.1458
BMW,"M440I (G22, G23) - OPF/GPF",2021,2021,144724.1458
BMW,M5 (F10),2011,2017,12689
BMW,M5 / M5 Competition (F90),2018,2020,"131130,128183"
BMW,M5 / M5 Competition (F90) - OPF/GPF,2018,2020,"131130,128183"
BMW,"M6 (F12, F13)",2012,2018,"4767,4481"
BMW,M6 Gran Coupé (F06),2013,2018,59231
BMW,"M8 / M8 Competition (F91, F92)",2020,2021,"136372,136371,136370,136369,"
BMW,"M8 / M8 Competition (F91, F92) - OPF/GPF",2020,2020,"136372,136371,136370,136369,"
BMW,"M8 / M8 Competition (F91, F92) - OPF/GPF",2020,2021,"136372,136371,136370,136369,"
BMW,"M8 / M8 Competition (F91, F92) - OPF/GPF",2021,2021,"136372,136371,136370,136369,"
BMW,M8 / M8 Competition Gran Coupé (F93),2020,2021,"137799,137798,"
BMW,M8 / M8 Competition Gran Coupé (F93) - OPF/GPF,2020,2020,"137799,137798,"
BMW,M8 / M8 Competition Gran Coupé (F93) - OPF/GPF,2020,2021,"137799,137798,"
BMW,M8 / M8 Competition Gran Coupé (F93) - OPF/GPF,2021,2021,"137799,137798,"
BMW,X2 M35i (F39),2020,2020,133261
BMW,X2 M35i (F39) - OPF/GPF,2020,2020,133261
BMW,X3 M / X3 M Competition (F97),2020,2020,"135354,135353,"
