MAKE, MODEL, VARIANT,Modell_ID
Alfa Romeo, Giulia, 2.0T Veloce (Non Q4 Models & Non OPF/GPF Models),"121146, 121698"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),"138152, 119608, 139651"
Alfa Romeo, Stelvio, Quadrifoglio 2.9 V6 Bi-Turbo,"138149, 129130"
Audi, A1, 1.4 TFSI S line 122PS,"11783, 33305"
Audi, A1, 1.4 TFSI S line 150PS ACT,"108161, 108160"
Audi, A1, 1.4 TFSI S line 185PS S tronic,"11785, 9304"
Audi, A1, 40TFSI 5 Door 2.0 (200PS) with OPF/GPF,135145
Audi, A3, 1.8 TSI 2WD 3-Door,
Audi, A3, 1.8T 2WD 3 & 5 door,"11340, 5602"
Audi, A3, 1.9 TDI 90 / 100 / 110 / 130 BHP,"5603, 15899, 7378, 15011"
Audi, A3, 2.0 TDI 170bhp 2WD 3 door DPF,
Audi, A3, 2.0 TDI 170bhp 2WD Sportback DPF,19616
Audi, A3, 2.0 TDI 184PS MQB 2WD (3 Door & Sportback Models),59621
Audi, A3, 2.0 TFSI quattro Sedan 8V (US-only),"120617, 120618, 120620, 120616"
Audi, A3, 2.0T FSI 2WD 3 door,"120629, 18082, 120632, 120633, 24494, 120627"
Audi, A3, 2.0T FSI 2WD 5 door Sportback,"120629, 18082"
Audi, A3, 2.0T FSI quattro 5 door SportBack,120617
Audi, A3, 3.2 V6 quattro 3 door & 5 door Sportback,17577
Audi, A4, 1.8T B6 quattro Cabriolet,17323
Audi, A4, 1.8T B6 quattro Saloon - Avant 163BHP (5 speed),"18406, 16884"
Audi, A4, 1.8T B6 quattro Saloon - Avant 190BHP (6 speed),17149
Audi, A4, 1.8T B7 quattro Saloon - Avant,"18406, 17149, 16884, 16464, 11347, 5314"
Audi, A4, 2.0 TDi B8 140PS / 177PS 2WD Saloon and Avant (S line models only),"20117, 16045, "
Audi, A4, 2.0 TDi B8 177PS quattro Saloon and Avant,"15997, 16048"
Audi, A4, 2.0 TFSI B7 quattro and DTM,"19826, 18408, 18939, 18372"
Audi, A4, 2.0 TFSI B9 Quattro Saloon & Avant (Non OPF/GPF Models & Without Brace Bars),
Audi, A4, 2.0 TFSI S line B8 (2WD and quattro manual-only) Saloon & Avant,"59250, 28276, 26914, 59249, 26911, 26912, 59251, 28277, 59249, 26913"
Audi, A4, 2.0 TFSI S line B8 (2WD and quattro Tiptronic-only) Saloon & Avant,"59250, 28276, 26914, 59249, 26911, 26912, 59251, 28277, 59249, 26913"
Audi, A4, 3.0 TDi B8 quattro Saloon and Avant,"20119, 25509, 33417, 16077, 23303, 30003"
Audi, A4, 3.0 V6 B6 quattro Saloon Avant & Cabriolet,
Audi, A5, Cabriolet 2.0 TFSI 2WD and quattro (manual only),"123991, 126159, 12160, 116042, 116043, 30981, 59635, 59635, 59634, 30980, 30979"
Audi, A5, Cabriolet 3.0 TDi (DPF) quattro,"12664, 123994, 11994, 115111, 30985 "
Audi, A5, Coupé 2.0 TDi,
Audi, A5, Coupé 3.0 TDi (DPF) quattro,
Audi, A5, Coupé S line 2.0 TFSI 2WD and quattro (manual only),
Audi, A5, Coupé S line 2.0 TFSI 2WD and quattro (Tiptronic only),
Audi, A5, Coupé S line 2.0 TFSI 2WD and quattro S tronic,
Audi, A5, Sportback 2.0 TFSI 2WD and quattro Manual,"123112, 126165, 12311, 123117, 116052, 116051, 31570, 59637, 59638, 31569, 33410"
Audi, A5, Sportback 2.0 TFSI 2WD and quattro Multitronic / S tronic,"123112, 126165, 12311, 123117, 116052, 116051, 31570, 59637, 59638, 31569, 33410"
Audi, A5, Sportback 3.0 TDI quattro Manual / Multitronic / S tronic,"123116, 126623, 12154, 11991, 115113, 31574"
Audi, A6, 2.0TDI & 3.0TDI (Non-Quattro) C7,
Audi, A6, 3.0 Bi-TDI C7 ,
Audi, A6, 55 TFSI (3.0 V6 Turbo) C8,"132327, 138414, 132323"
Audi, A7, 55 TFSI (3.0 V6 Turbo) C8,
Audi, A7, C7 3.0 Bi-TDI,
Audi, Coupe, UR quattro 10v Turbo,
Audi, Coupe, UR quattro 20v Turbo,"1376, 1372"
Audi, Q7, 3.0 TDi quattro,"113153, 116263, 117122, 10442, 26563, 34967, 21589, 19016"
Audi, Q7, 3.0TDI (218 & 272PS) 4M,
Audi, Q8, 55 TDI Quattro,
Audi, R8, V10 5.2 FSI quattro Coupé and Spyder (excludes V10 Plus models),"135340, 128150, 135349, 120716, 12005, 32062"
Audi, R8, V10 5.2L Gen 2 (OPF/GPF Equipped Models Only) ,
Audi, R8, V10 5.2l Plus Coupe & Spyder,
Audi, R8, V8 4.2 FSI quattro,"33659, 33658, 22552"
Audi, RS3, Saloon / Sedan 400PS (8V MQB) - Non-OPF/GPF Models,
Audi, RS3, Saloon / Sedan 400PS (8V MQB) - OPF/GPF Models,
Audi, RS3, Sportback (8V MQB - Pre Facelift Only),
Audi, RS3, Sportback 400PS (8V MQB - Facelift Only) - Non-OPF/GPF Models,
Audi, RS3, Sportback 400PS (8V MQB - Facelift Only) - OPF/GPF Models,
Audi, RS3, Sportback S tronic (8P),
Audi, RS4, B5 V6 Bi-Turbo Avant,
Audi, RS4, B7 4.2 V8 Saloon Avant and Cabriolet,
Audi, RS4, B8 4.2 FSI quattro Avant,
Audi, RS4, B9 2.9 V6 Turbo Avant (Non OPF/GPF Models),
Audi, RS4, B9 2.9 V6 Turbo Avant (OPF/GPF Models),
Audi, RS5, B8 Coupé,
Audi, RS5, B9 2.9 V6 Turbo Coupe (Non OPF/GPF Models),
Audi, RS5, B9 2.9 V6 Turbo Coupe (OPF/GPF Models),
Audi, RS5, B9 2.9 V6 Turbo Sportback (Non-OPF/GPF Models),
Audi, RS5, B9 2.9 V6 Turbo Sportback (OPF/GPF Models),
Audi, RS6, C5 V8 Bi-Turbo Saloon & Avant,
Audi, RS6, C6 5.0 V10 biturbo quattro,
Audi, RS6, C7 4.0 TFSI biturbo quattro inc Performance Edition,
Audi, RS6, C8 4.0 V8 bi-turbo (Non OPF/GPF Models - USA/ROW Models),
Audi, RS6, C8 4.0 V8 bi-turbo (OPF/GPF Models),
Audi, RS7, C8 4.0 V8 bi-turbo (Non OPF/GPF US/ROW Models),
Audi, RS7, C8 4.0 V8 bi-turbo (OPF/GPF Models),
Audi, RS7, Sportback 4.0 V8 TFSI biturbo inc Performance Edition,
Audi, RSQ3, 2.5T Sportback & SUV (OPF/GPF Equipped Models Only),
Audi, RSQ8, 4.0 V8 Bi-Turbo (Non OPF / GPF Equipped Models),
Audi, RSQ8, 4.0 V8 Bi-Turbo (OPF / GPF Equipped Models),
Audi, S1, 2.0 TFSI quattro,
Audi, S3, 1.8T quattro 8L,
Audi, S3, 2.0 T quattro 3-Door 8P,
Audi, S3, 2.0 T quattro Sportback 8P,
Audi, S3, 2.0 TFSI quattro 3-Door 8V.2 (GPF Equipped Models Only),
Audi, S3, 2.0 TFSI quattro 3-Door 8V/8V.2 (Non-GPF Equipped Models Only),
Audi, S3, 2.0 TFSI quattro Saloon & Cabrio 8V.2 (GPF Equipped Models Only),
Audi, S3, 2.0 TFSI quattro Saloon & Cabrio 8V/8V.2 (Non-GPF Equipped Models Only),
Audi, S3, 2.0 TFSI quattro Sportback 8V.2 (GPF Equipped Models Only),
Audi, S3, 2.0 TFSI quattro Sportback 8V/8V.2 (Non-GPF Equipped Models Only),
Audi, S3, 2.0TFSI Quattro Saloon/Sedan 310PS 8Y (OPF/GPF Models Only),
Audi, S3, 2.0TFSI Quattro Sportback 310PS 8Y (OPF/GPF Models Only),
Audi, S4, 3.0 Bi-TDI B9 Saloon/Avant (Diesel),
Audi, S4, 3.0 Supercharged V6 B8,
Audi, S4, 3.0 Supercharged V6 B8.5,
Audi, S4, 3.0 Turbo V6 B9 - Saloon/Sedan & Avant (Non Sport Diff Models),
Audi, S4, 3.0 Turbo V6 B9 - Saloon/Sedan & Avant (Sport Diff Models Only & Without Brace Bars),
Audi, S4, 4.2 V8 quattro B6 Saloon/Sedan Avant & Cabriolet,
Audi, S4, 4.2 V8 quattro B7 Saloon/Sedan Avant & Cabriolet,
Audi, S5,  3.0 TFSI B8 Coupé & Cabriolet (S tronic),
Audi, S5, 3.0 Bi-TDI B9 Coupe (Diesel),
Audi, S5, 3.0 TFSI B8 Sportback,
Audi, S5, 3.0 TFSI B8.5 Coupé & Cabriolet,
Audi, S5, 3.0 TFSI B8.5 Sportback ,
Audi, S5, 3.0 V6 Turbo Coupe Only B9 (Sport Diff Models Only & Without Brace Bars),
Audi, S5, 3.0 V6 Turbo Coupe/Cabrio B9 (Non Sport Diff Models Only),
Audi, S5, 3.0 V6 Turbo Sportback B9 (Non Sport Diff Models Only),
Audi, S5, 3.0 V6 Turbo Sportback B9 (Sport Diff Models Only & without Brace Bars),
Audi, S5, 4.2 V8 B8 Coupé (Manual and Auto),
Audi, S6, 3.0 TDI C8 Saloon / Avant (Diesel),
Audi, S6, 4.0 TFSI C7 quattro,
Audi, S6, 5.2 V10 C6 FSI quattro,
Audi, S7 Sportback, 3.0 TDI C8 (Diesel),
Audi, S7 Sportback, 4.0 TFSI quattro S tronic,
