"ORG SKU",SKU,Name,"Exhaust System Line",Homologation,Description,Category,Segment,Program,Brand,Model,"MY from","MY to",Price,Model_ID
01-08-28-0001,01-08-28-0001-1,"Rear Carbon fiber lip","OP - Optional part","W/O Approval","Requires proper installation of the optional Akrapovič   carbon fibre lip to avoid any possible heat damage to the rear bumper. For installing the lip, the rear bumper has to be cut.","New Avgassystem","Super Sport",Car,Porsche,"911 GT3/RS (997 FL) 3.8",2009,2012,6423,"31365,34987"
01-08-28-0001,01-08-28-0001-2,"Rear Carbon fiber lip","OP - Optional part","W/O Approval","Requires proper installation of the optional Akrapovič   carbon fibre lip to avoid any possible heat damage to the rear bumper. For installing the lip, the rear bumper has to be cut.","New Avgassystem","Super Sport",Car,Porsche,"911 GT3/RS (997 FL) 4.0",2011,2012,6423,11571
DI-AU/CA/1/G,DI-AU/CA/1/G-3,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","Skilfully handmade by the experienced workers in the Akrapovič carbon fibre department, this optional carbon fibre diffuser shows off the Evolution Line (Titanium) exhaust system to its full extent and is the perfect accompaniment to the stunning carbon fibre tailpipes. The diffuser’s new design is fully tailored to the car’s lines, giving it a powerful presence.Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,Audi,"RS 6 Avant (C8)",2020,2021,31348,138275
DI-AU/CA/1/G,DI-AU/CA/1/G-4,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","Skilfully handmade by the experienced workers in the Akrapovič carbon fibre department, this optional carbon fibre diffuser shows off the Evolution Line (Titanium) exhaust system to its full extent and is the perfect accompaniment to the stunning carbon fibre tailpipes. The diffuser’s new design is fully tailored to the car’s lines, giving it a powerful presence.Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,Audi,"RS 6 Avant (C8) - OPF/GPF",2020,2021,31348,138275
DI-AU/CA/1/G,DI-AU/CA/1/G-5,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","Skilfully handmade by the experienced workers in the Akrapovič carbon fibre department, this optional carbon fibre diffuser shows off the Evolution Line (Titanium) exhaust system to its full extent and is the perfect accompaniment to the stunning carbon fibre tailpipes. The diffuser’s new design is fully tailored to the car’s lines, giving it a powerful presence.Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,Audi,"RS 7 Sportback (C8)",2020,2021,31348,
DI-AU/CA/1/G,DI-AU/CA/1/G-6,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","Skilfully handmade by the experienced workers in the Akrapovič carbon fibre department, this optional carbon fibre diffuser shows off the Evolution Line (Titanium) exhaust system to its full extent and is the perfect accompaniment to the stunning carbon fibre tailpipes. The diffuser’s new design is fully tailored to the car’s lines, giving it a powerful presence.Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,Audi,"RS 7 Sportback (C8) - OPF/GPF",2020,2021,31348,
DI-AU/CA/1/M,DI-AU/CA/1/M-7,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval","Skilfully handmade by the experienced workers in the Akrapovič carbon fibre department, this optional carbon fibre diffuser shows off the Evolution Line (Titanium) exhaust system to its full extent and is the perfect accompaniment to the stunning carbon fibre tailpipes. The diffuser’s new design is fully tailored to the car’s lines, giving it a powerful presence.Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,Audi,"RS 6 Avant (C8)",2020,2021,27356,138275
DI-AU/CA/1/M,DI-AU/CA/1/M-8,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval","Skilfully handmade by the experienced workers in the Akrapovič carbon fibre department, this optional carbon fibre diffuser shows off the Evolution Line (Titanium) exhaust system to its full extent and is the perfect accompaniment to the stunning carbon fibre tailpipes. The diffuser’s new design is fully tailored to the car’s lines, giving it a powerful presence.Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,Audi,"RS 6 Avant (C8) - OPF/GPF",2020,2021,27356,138275
DI-AU/CA/1/M,DI-AU/CA/1/M-9,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval","Skilfully handmade by the experienced workers in the Akrapovič carbon fibre department, this optional carbon fibre diffuser shows off the Evolution Line (Titanium) exhaust system to its full extent and is the perfect accompaniment to the stunning carbon fibre tailpipes. The diffuser’s new design is fully tailored to the car’s lines, giving it a powerful presence.Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,Audi,"RS 7 Sportback (C8)",2020,2021,27356,
DI-AU/CA/1/M,DI-AU/CA/1/M-10,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval","Skilfully handmade by the experienced workers in the Akrapovič carbon fibre department, this optional carbon fibre diffuser shows off the Evolution Line (Titanium) exhaust system to its full extent and is the perfect accompaniment to the stunning carbon fibre tailpipes. The diffuser’s new design is fully tailored to the car’s lines, giving it a powerful presence.Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,Audi,"RS 7 Sportback (C8) - OPF/GPF",2020,2021,27356,
