BRAND," MODEL"," VARIANT_TYPE",MODEL_ID," YEAR FROM"," YEAR TO","ORG SKU",SKU,NAME,DESCRIPTION," TIP STYLE"," PIPE Ø (MM)"," PIPE Ø (INCHES)"," EC-APPROVED?"," RACE SYSTEM"," VALVESONIC"," FITTING TIME"," SHIPPING DATA",PRICE
Audi," Coupe"," UR quattro 10v Turbo",,1981,1989," MCXAU101"," MCXAU101-1"," Downpipe-back"," Resonated (quieter). Polished OEM-Style Tips. Requires 4 holes to be drilled into the boot floor to allow fitment of the new Milltek Sport exhaust hangers"," Twin 90mm GT90 ",63.5,2.5," No"," No"," No"," "," Ships in 1 box measuring 120 X 74 X 28 and weighing 25kg.",14738
Audi," Coupe"," UR quattro 10v Turbo",,1981,1989," MCXAU102"," MCXAU102-2"," Downpipe-back"," Resonated (quieter). Cerakote Black OEM-Style Tips. Requires 4 holes to be drilled into the boot floor to allow fitment of the new Milltek Sport exhaust hangers"," Twin 90mm GT90 ",63.5,2.5," No"," No"," No"," "," Ships in 1 box measuring 120 X 74 X 28 and weighing 25kg.",15929
Audi," Coupe"," UR quattro 10v Turbo",,1981,1989," MCXAU103"," MCXAU103-3"," Downpipe-back"," Non-resonated (louder). Cerakote Black OEM-Style Tips. Requires 4 holes to be drilled into the boot floor to allow fitment of the new Milltek Sport exhaust hangers"," Twin 90mm GT90 ",63.5,2.5," No"," No"," No"," "," Ships in 1 box measuring 120 X 74 X 28 and weighing 21kg.",14156
Audi," Coupe"," UR quattro 10v Turbo",,1981,1989," MCXAU104"," MCXAU104-4"," Downpipe-back"," Non-resonated (louder). Polished OEM-Style Tips. Requires 4 holes to be drilled into the boot floor to allow fitment of the new Milltek Sport exhaust hangers"," Twin 90mm GT90 ",63.5,2.5," No"," No"," No"," "," Ships in 1 box measuring 120 X 74 X 28 and weighing 21kg.",12966
Audi," Coupe"," UR quattro 20v Turbo","1376, 1372",1989,1991," MCXAU105"," MCXAU105-5"," Downpipe-back"," Non-resonated (louder). Cerakote Black OEM-Style Tips. Requires 4 holes to be drilled into the boot floor to allow fitment of the new Milltek Sport exhaust hangers"," Twin 90mm GT90 ",63.5,2.5," No"," No"," No"," "," Ships in 1 box measuring 120X 74 X28  and weighing 21kg.",14107
Audi," Coupe"," UR quattro 20v Turbo","1376, 1372",1989,1991," MCXAU106"," MCXAU106-6"," Downpipe-back"," Resonated (quieter). Cerakote Black OEM-Style Tips. Requires 4 holes to be drilled into the boot floor to allow fitment of the new Milltek Sport exhaust hangers"," Twin 90mm GT90 ",63.5,2.5," No"," No"," No"," "," Ships in 1 box measuring 120X 74 X28  and weighing 23kg.",15879
Audi," Coupe"," UR quattro 20v Turbo","1376, 1372",1989,1991," MCXAU107"," MCXAU107-7"," Downpipe-back"," Resonated (quieter). Polished OEM-Style Tips. Requires 4 holes to be drilled into the boot floor to allow fitment of the new Milltek Sport exhaust hangers"," Twin 90mm GT90 ",63.5,2.5," No"," No"," No"," "," Ships in 1 box measuring 120X 74 X28  and weighing 23kg.",14689
Audi," Coupe"," UR quattro 20v Turbo","1376, 1372",1989,1991," MCXAU108"," MCXAU108-8"," Downpipe-back"," Non-resonated (louder). Polished OEM-Style Tips. Requires 4 holes to be drilled into the boot floor to allow fitment of the new Milltek Sport exhaust hangers"," Twin 90mm GT90 ",63.5,2.5," No"," No"," No"," "," Ships in 1 box measuring 120X 74 X28  and weighing 21kg.",12917
Audi," Coupe"," UR quattro 10v Turbo",,1981,1989," MCXAU109"," MCXAU109-9"," Downpipe-back"," Resonated (quieter). Titanium OEM-Style Tips. Requires 4 holes to be drilled into the boot floor to allow fitment of the new Milltek Sport exhaust hangers"," Twin 90mm GT90 ",63.5,2.5," No"," No"," No"," "," Ships in 1 box measuring 120X 74 X28  and weighing 23kg.",17851
Audi," Coupe"," UR quattro 10v Turbo",,1981,1989," MCXAU110"," MCXAU110-10"," Downpipe-back"," Non-resonated (louder). Titanium OEM-Style Tips. Requires 4 holes to be drilled into the boot floor to allow fitment of the new Milltek Sport exhaust hangers"," Twin 90mm GT90 ",63.5,2.5," No"," No"," No"," "," Ships in 1 box measuring 120X 74 X28  and weighing 21kg.",16078
